game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
ARI202205090,2022/05/09,PHO01,7,0,1,2,rojam002,R,ramin002,varsd001,stalj001,00,3,4,-1,rojam002,,,0
ARI202205100,2022/05/10,PHO01,7,1,2,2,walkc002,R,potec001,henrp001,rojaj001,20,6,2,4,walkc002,,,0
ARI202205110,2022/05/11,PHO01,4,1,2,2,rojaj001,L,alcas001,stalj001,martk001,00,1,3,-2,rojaj001,,,1
ARI202205130,2022/05/13,PHO01,1,0,2,2,contw001,R,daviz001,varsd001,wisdp001,02,0,0,0,contw001,,,0
ARI202205130,2022/05/13,PHO01,4,1,1,2,rojaj001,L,smyld001,contw001,perdg001,01,3,3,0,rojaj001,,,1
ARI202205150,2022/05/15,PHO01,7,1,1,2,ahmen001,R,martc007,contw001,thoma004,21,2,2,0,ahmen001,,,0
ARI202205230,2022/05/23,PHO01,2,0,0,2,merrw001,R,daviz001,greig001,benia002,12,4,3,1,merrw001,,,1
ARI202205240,2022/05/24,PHO01,7,0,0,2,merrw001,R,ramin002,varsd001,benia002,32,6,8,-2,merrw001,,,0
ARI202205270,2022/05/27,PHO01,1,0,2,2,freef001,L,bumgm001,herrj003,smitw003,00,0,0,0,freef001,,,1
ARI202205280,2022/05/28,PHO01,3,0,0,2,bettm001,R,kellm002,herrj003,freef001,02,1,2,-1,bettm001,,,1
ARI202205280,2022/05/28,PHO01,5,0,2,2,turnt001,R,kellm002,herrj003,riose001,10,3,2,1,turnt001,,,0
ARI202205310,2022/05/31,PHO01,9,1,2,2,martk001,B,jansk001,darnt001,rojaj001,20,6,6,0,martk001,,,1
ARI202206130,2022/06/13,PHO01,1,1,2,2,luplj001,R,minom001,okeyc001,walkc002,20,0,0,0,luplj001,,,1
ARI202206130,2022/06/13,PHO01,6,0,1,2,reynm003,R,kellm002,kellc002,mousm001,00,4,4,0,reynm003,,,1
ARI202206130,2022/06/13,PHO01,8,1,2,2,thoma004,L,warra002,okeyc001,perdg001,11,4,5,-1,thoma004,,,1
ARI202206140,2022/06/14,PHO01,5,0,2,2,mousm001,L,daviz001,kellc002,garca006,00,0,0,0,mousm001,,senzn001,1
ARI202206140,2022/06/14,PHO01,11,0,0,2,phamt001,R,kenni001,varsd001,vottj001,01,1,1,0,phamt001,,drurb001,1
ARI202206140,2022/06/14,PHO01,11,1,2,2,thoma004,L,cessl001,okeyc001,rojaj001,22,1,3,-2,thoma004,,mccaj003,1
ARI202206140,2022/06/14,PHO01,11,1,2,2,rojaj001,L,cessl001,okeyc001,martk001,00,3,3,0,rojaj001,thoma004,,1
