game_id,date,park,inning,half,outs,play_seq,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
ANA202508010,2025/08/01,ANA01,5,1,0,41,2,rengl001,B,smits003,R,quere001,darnt001,12,0,3,-3,rengl001,,,1,0
ANA202508010,2025/08/01,ANA01,8,0,0,69,2,robel002,R,garcl005,R,ohopl001,sosal001,20,4,3,1,robel002,,,1,0
ANA202508020,2025/08/02,ANA01,2,0,0,8,2,robel002,R,hendk001,R,ohopl001,montc004,00,0,0,0,robel002,,,1,0
ANA202508040,2025/08/04,ANA01,2,0,2,12,2,lowej002,L,kikuy001,L,darnt001,fortn001,12,1,0,1,lowej002,,,1,0
ANA202508040,2025/08/04,ANA01,4,1,1,39,2,teodb001,R,housa001,R,fortn001,schan001,00,4,1,3,teodb001,,,1,0
ANA202508040,2025/08/04,ANA01,6,0,2,51,2,deluj001,R,kikuy001,L,darnt001,lowej002,00,1,4,-3,deluj001,,,1,0
ANA202508050,2025/08/05,ANA01,7,1,2,63,2,teodb001,R,bakeb001,R,feduh001,netoz001,01,3,7,-4,teodb001,,,1,0
ANA202508050,2025/08/05,ANA01,9,0,1,75,2,wallt003,B,fulmc001,R,ohopl001,simpc001,12,7,3,4,wallt003,,deluj001,1,0
ANA202508060,2025/08/06,ANA01,5,1,0,42,2,teodb001,R,baz-s001,R,fortn001,netoz001,01,4,4,0,teodb001,,,1,0
ANA202508060,2025/08/06,ANA01,9,0,0,82,2,lowej002,L,jansk001,R,ohopl001,morec001,00,5,4,1,lowej002,,,1,0
ANA202508110,2025/08/11,ANA01,2,1,2,18,2,netoz001,R,yamay001,R,smitw003,schan001,01,2,0,2,netoz001,,,0,0
ANA202508120,2025/08/12,ANA01,7,0,2,69,2,freef001,L,garcl005,R,ohopl001,muncm001,02,5,5,0,freef001,,,1,0
ANA202508130,2025/08/13,ANA01,7,1,1,72,3,teodb001,R,wrobj001,L,smitw003,schan001,01,4,5,-1,,teodb001,,0,0
ANA202508180,2025/08/18,ANA01,3,1,2,29,3,netoz001,R,singb001,R,trevj001,troum001,11,1,2,-1,,netoz001,,1,0
ANA202508190,2025/08/19,ANA01,3,0,0,18,2,hayek001,R,hendk001,R,darnt001,mclam001,32,1,1,0,hayek001,,,0,0
ANA202508190,2025/08/19,ANA01,7,0,1,53,2,mclam001,R,chafa001,L,darnt001,lux-g001,01,4,1,3,mclam001,,,0,0
ANA202508240,2025/08/24,ANA01,6,1,0,53,2,netoz001,R,kitta001,R,kellc002,troum001,01,1,4,-3,netoz001,,,1,0
ANA202508240,2025/08/24,ANA01,6,1,2,58,2,rengl001,B,kitta001,R,kellc002,darnt001,12,3,4,-1,rengl001,,,1,0
ANA202509050,2025/09/05,ANA01,3,0,1,32,2,hernd006,R,zefer001,R,darnt001,kurtn001,20,8,4,4,hernd006,,,1,0
ANA202509060,2025/09/06,ANA01,3,0,2,29,2,langs001,R,silsc001,R,ohopl001,rookb001,02,7,0,7,langs001,,,1,0
ANA202509070,2025/09/07,ANA01,2,0,2,12,2,sodet001,L,farrm001,L,ohopl001,butll001,11,0,2,-2,sodet001,,,1,0
ANA202509070,2025/09/07,ANA01,4,1,1,32,2,taylc001,R,sevel001,R,maciw001,ohopl001,22,2,1,1,taylc001,,,1,0
ANA202509080,2025/09/08,ANA01,1,1,2,7,2,netoz001,R,woods002,R,gaspm001,wardt002,10,0,0,0,netoz001,,,1,0
ANA202509080,2025/09/08,ANA01,4,0,0,35,2,lee-b002,B,danac001,R,rives002,gaspm001,10,3,3,0,lee-b002,,,1,0
ANA202509080,2025/09/08,ANA01,8,0,1,82,2,keasl001,R,peras001,L,rives002,larnt001,12,7,3,4,keasl001,,marta007,1,0
ANA202509090,2025/09/09,ANA01,1,0,0,2,2,buxtb001,R,hendk001,R,rives002,marta007,01,0,0,0,buxtb001,,,1,0
ANA202509090,2025/09/09,ANA01,1,1,2,12,2,rengl001,B,mattz001,R,perej004,perao002,02,2,0,2,rengl001,,wardt002,1,1
ANA202509090,2025/09/09,ANA01,1,1,2,12,H,wardt002,R,mattz001,R,perej004,perao002,02,2,0,2,rengl001,,wardt002,1,1
ANA202509100,2025/09/10,ANA01,7,1,0,61,2,rengl001,B,bradt002,R,gaspm001,perao002,12,3,3,0,rengl001,,,1,0
ANA202509230,2025/09/23,ANA01,6,0,2,50,2,tolbt001,R,bachs001,R,ohopl001,garcm003,01,3,2,1,tolbt001,,,1,0
ANA202509230,2025/09/23,ANA01,6,0,2,51,3,tolbt001,R,bachs001,R,ohopl001,garcm003,22,3,2,1,,tolbt001,,1,0
ANA202509240,2025/09/24,ANA01,4,1,1,31,2,perao002,R,koles001,R,maill001,rives002,02,2,0,2,perao002,,,1,0
ANA202509250,2025/09/25,ANA01,5,0,0,35,2,massm001,L,farrm001,L,ohopl001,garcm003,32,3,1,2,massm001,,,1,0
ANA202509250,2025/09/25,ANA01,5,0,1,37,3,wittb002,R,farrm001,L,ohopl001,pasqv001,00,4,1,3,,wittb002,,0,0
ANA202509260,2025/09/26,ANA01,4,0,2,28,2,uriar001,R,hendk001,R,ohopl001,dubom001,01,2,0,2,uriar001,,colez001,1,1
ANA202509260,2025/09/26,ANA01,4,0,2,28,H,colez001,L,hendk001,R,ohopl001,dubom001,01,2,0,2,uriar001,,colez001,1,1
ANA202509260,2025/09/26,ANA01,8,1,2,80,2,rengl001,B,abreb002,R,diazy004,ohopl001,11,4,4,0,rengl001,,,0,0
ANA202509270,2025/09/27,ANA01,2,1,0,15,2,moorc002,R,bluba001,R,diazy004,perao002,31,0,2,-2,moorc002,,,1,0
ANA202509270,2025/09/27,ANA01,4,0,2,34,2,colez001,L,danac001,R,ohopl001,sancj003,01,3,0,3,colez001,,,1,0
ANA202509280,2025/09/28,ANA01,2,0,1,14,2,meltj001,L,aldes001,L,rives002,colez001,20,1,1,0,meltj001,,,1,0
ANA202509280,2025/09/28,ANA01,3,0,2,27,2,sancj003,L,aldes001,L,rives002,uriar001,00,1,1,0,sancj003,,,1,0
ANA202509280,2025/09/28,ANA01,5,0,1,44,2,sancj003,L,aldes001,L,rives002,smitc010,00,2,1,1,sancj003,,,0,0
ANA202509280,2025/09/28,ANA01,5,0,2,50,2,meltj001,L,brogc001,R,rives002,colez001,20,5,1,4,meltj001,,,0,0
ANA202509280,2025/09/28,ANA01,7,0,2,67,2,mattb001,R,zefer001,R,rives002,meltj001,00,6,1,5,mattb001,,uriar001,1,0
ARI202503270,2025/03/27,PHO01,2,0,1,13,2,crowp001,L,gallz001,R,moreg001,shawm002,10,0,1,-1,crowp001,,,1,0
ARI202503280,2025/03/28,PHO01,2,0,0,10,2,swand001,R,kellm002,R,herrj003,hoern001,12,0,0,0,swand001,,,1,0
ARI202503280,2025/03/28,PHO01,4,1,2,39,3,perdg001,B,tailj001,R,kellc002,martk001,11,5,1,4,,perdg001,,1,0
ARI202503280,2025/03/28,PHO01,5,0,2,44,2,tuckk001,L,kellm002,R,herrj003,suzus001,11,1,5,-4,tuckk001,,,1,0
ARI202503300,2025/03/30,PHO01,8,1,1,93,3,naylj001,L,morge001,R,amaym001,nelsr003,11,7,6,1,suare001,naylj001,,1,1
ARI202503300,2025/03/30,PHO01,8,1,1,93,2,suare001,R,morge001,R,amaym001,nelsr003,11,7,6,1,suare001,naylj001,,1,1
ARI202504070,2025/04/07,PHO01,5,0,0,37,2,hendg002,L,gallz001,R,moreg001,rutsa001,12,2,1,1,hendg002,,,1,0
ARI202504070,2025/04/07,PHO01,6,0,2,51,2,hendg002,L,thomr007,R,moreg001,rutsa001,02,5,1,4,hendg002,,,1,0
ARI202504080,2025/04/08,PHO01,8,0,1,69,2,rutsa001,B,puk-a001,L,moreg001,mounr001,01,3,4,-1,rutsa001,,,1,0
ARI202504080,2025/04/08,PHO01,8,0,1,70,3,rutsa001,B,puk-a001,L,moreg001,mounr001,02,3,4,-1,,rutsa001,,1,0
ARI202504110,2025/04/11,PHO01,2,0,2,11,3,frels001,L,rodre004,L,moreg001,caprv001,12,0,0,0,ortij005,frels001,,1,1
ARI202504110,2025/04/11,PHO01,2,0,2,11,2,ortij005,R,rodre004,L,moreg001,caprv001,12,0,0,0,ortij005,frels001,,1,1
ARI202504120,2025/04/12,PHO01,3,0,0,19,2,turab002,L,burnc002,R,moreg001,chouj001,00,2,0,2,turab002,,,0,0
ARI202504120,2025/04/12,PHO01,3,1,0,23,2,hampg001,R,patrc001,R,contw002,carrc005,32,0,2,-2,hampg001,,,0,0
ARI202504130,2025/04/13,PHO01,7,0,2,60,2,turab002,L,beekj001,L,herrj003,yelic001,12,2,2,0,turab002,,,1,0
ARI202504130,2025/04/13,PHO01,7,1,2,71,2,naylj001,L,andeg002,R,contw002,suare001,00,3,2,1,naylj001,,gricr001,1,0
ARI202504130,2025/04/13,PHO01,8,1,2,86,2,carrc005,L,andeg002,R,contw002,perdg001,00,3,2,1,carrc005,,tawat001,1,0
ARI202504130,2025/04/13,PHO01,8,1,2,89,2,thoma004,L,andeg002,R,contw002,naylj001,01,5,2,3,thoma004,,perdg001,1,0
ARI202504130,2025/04/13,PHO01,9,0,1,96,2,ortij005,R,puk-a001,L,herrj003,colli001,22,2,5,-3,ortij005,,,1,0
ARI202504220,2025/04/22,PHO01,3,0,1,19,2,simpc001,L,pfaab001,R,moreg001,loweb001,22,1,0,1,simpc001,,,1,0
ARI202504220,2025/04/22,PHO01,5,1,2,40,2,perdg001,B,littz001,R,rortb001,smitp002,01,3,1,2,perdg001,,,1,0
ARI202504220,2025/04/22,PHO01,6,1,1,47,2,naylj001,L,littz001,R,rortb001,moreg001,00,3,1,2,naylj001,,,0,0
ARI202504240,2025/04/24,PHO01,1,1,0,5,2,carrc005,L,rasmd002,R,jansd001,perdg001,11,0,0,0,carrc005,,,1,0
ARI202504240,2025/04/24,PHO01,9,0,2,77,2,diazy001,R,mills001,R,moreg001,aranj001,11,4,4,0,diazy001,,jansd001,1,0
ARI202504260,2025/04/26,PHO01,2,0,2,12,2,harrm004,L,kellm002,R,moreg001,allen002,01,2,0,2,harrm004,,,1,0
ARI202504260,2025/04/26,PHO01,7,0,1,54,2,albio001,B,thomr007,R,moreg001,white006,00,2,6,-4,albio001,,,1,0
ARI202504270,2025/04/27,PHO01,7,1,2,65,2,perdg001,B,bumma001,L,baldd001,smitp002,11,4,3,1,perdg001,,,1,0
ARI202504270,2025/04/27,PHO01,7,1,2,66,3,perdg001,B,bumma001,L,baldd001,smitp002,32,4,3,1,,perdg001,,1,0
ARI202504270,2025/04/27,PHO01,8,1,1,77,2,gurrl001,R,danid001,R,baldd001,tawat001,11,6,3,3,gurrl001,,,1,0
