game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
BAL202407100,2024/07/10,BAL12,5,0,2,2,suzus001,R,burnc002,R,mccaj001,happi001,21,3,0,3,suzus001,,,1,0
BAL202407110,2024/07/11,BAL12,4,0,2,2,morec001,R,suara001,R,mccaj001,crowp001,11,1,0,1,morec001,,,0,0
BAL202407120,2024/07/12,BAL12,2,1,1,2,kjerh001,L,coleg001,R,trevj001,mullc002,32,0,2,-2,kjerh001,,,1,0
BAL202407120,2024/07/12,BAL12,3,0,1,2,torrg001,R,povic001,L,rutsa001,verda001,12,3,1,2,torrg001,,,0,0
BAL202407140,2024/07/14,BAL12,3,1,2,2,mounr001,R,rodoc001,L,wella002,westj002,00,2,1,1,mounr001,,,1,0
BAL202407270,2024/07/27,BAL12,2,0,2,2,perad001,L,kremd001,R,rutsa001,higak001,22,0,0,0,perad001,,merrj002,1,0
BAL202407280,2024/07/28,BAL12,3,0,0,2,kim-h002,R,suara001,R,mccaj001,higak001,20,0,0,0,kim-h002,,,1,0
BAL202407280,2024/07/28,BAL12,3,0,1,3,kim-h002,R,suara001,R,mccaj001,arral001,00,0,0,0,,kim-h002,,0,0
BAL202407291,2024/07/29,BAL12,6,1,1,2,ohear001,L,richt001,R,kirka001,westj002,32,10,3,7,ohear001,,,0,0
BAL202407292,2024/07/29,BAL12,2,0,1,2,berrs002,B,povic001,L,rutsa001,sprig001,32,2,1,1,berrs002,,,1,0
BAL202407292,2024/07/29,BAL12,4,0,0,2,berrs002,B,povic001,L,rutsa001,sprig001,00,3,3,0,berrs002,,,1,0
BAL202407292,2024/07/29,BAL12,9,0,1,2,sprig001,R,kimbc001,R,rutsa001,varsd001,00,7,4,3,sprig001,,,1,0
BAL202407300,2024/07/30,BAL12,1,1,0,2,cowsc001,L,bassc001,R,kirka001,rutsa001,32,0,0,0,cowsc001,,,0,0
BAL202407300,2024/07/30,BAL12,4,1,1,2,mullc002,L,bassc001,R,kirka001,uriar001,30,4,1,3,mullc002,,,1,0
BAL202407300,2024/07/30,BAL12,4,1,1,2,uriar001,R,bassc001,R,kirka001,cowsc001,32,5,1,4,uriar001,,,0,0
BAL202407300,2024/07/30,BAL12,7,0,2,2,berrs002,B,burnc002,R,rutsa001,sprig001,20,1,6,-5,berrs002,,,1,0
BAL202407310,2024/07/31,BAL12,1,1,2,2,mullc002,L,espip001,R,servb001,westj002,10,2,0,2,mullc002,,mounr001,1,0
BAL202408130,2024/08/13,BAL12,1,0,2,2,woodj004,L,roget003,L,rutsa001,chapa002,12,1,0,1,woodj004,,yepej001,0,0
BAL202408130,2024/08/13,BAL12,5,0,2,2,abrac001,L,roget003,L,rutsa001,ruizk001,01,4,2,2,abrac001,,,1,0
BAL202408130,2024/08/13,BAL12,6,0,0,2,vargi001,B,bakeb001,R,rutsa001,garcl006,10,6,2,4,vargi001,,,1,0
BAL202408140,2024/08/14,BAL12,3,0,1,2,abrac001,L,kremd001,R,rutsa001,yepej001,21,1,2,-1,abrac001,,,1,0
BAL202408140,2024/08/14,BAL12,6,0,1,2,chapa002,R,kremd001,R,rutsa001,ruizk001,00,1,2,-1,chapa002,,,0,0
