date,inning,half,outs,base_code,score_diff,target,p_model,success,layer,break_even,decision,actual_value,min_n
2025/06/08,4,0,2,1_3,0,2,0.8908797,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/08,9,0,0,1__,2,2,0.7399544,1,WP,0.3852625352251523,GO,0.03504292317851643,77.0
2025/06/08,6,1,1,12_,0,3,0.7386896,0,RE24,0.7292602919730533,GO,-0.7084347821959666,
2025/06/08,1,1,0,1__,0,2,0.7006435,1,RE24,0.7314008155412673,HOLD,0.23021398310671604,
2025/06/08,2,0,1,1__,0,2,0.6889012,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/08,3,1,2,1__,2,2,0.6746017,1,RE24,0.7143336095124673,HOLD,0.09218747726831977,
2025/06/08,5,0,2,1__,-2,2,0.8037395,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/08,7,0,1,1_3,-2,2,0.9136072,1,WP,0.4593195266272189,GO,0.11684782608695654,23.0
2025/06/08,7,1,1,_2_,2,3,0.6969701,1,WP,0.9941050262037943,HOLD,0.00017028522775641708,29.0
2025/06/08,3,0,1,1__,4,2,0.76811635,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/08,3,0,1,_2_,5,3,0.87681466,1,RE24,0.6866960128608449,GO,0.2638197474120524,
2025/06/08,8,1,2,1_3,-1,2,0.9754165,1,WP,0.9451203715405031,GO,0.007661038148843002,39.0
2025/06/08,8,0,1,1__,4,2,0.6982631,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/08,5,0,1,1__,0,2,0.57366854,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/08,7,1,0,1__,0,2,0.61703646,0,WP,0.5414115080496607,GO,-0.10106079192730255,64.0
2025/06/08,8,1,0,1__,0,2,0.7631286,1,WP,0.7930501721612716,HOLD,0.026420297848869234,74.0
2025/06/08,2,1,1,12_,-1,3,0.99584216,1,RE24,0.7292602919730533,GO,0.26300818541612947,
2025/06/08,2,1,1,12_,-1,2,0.99389994,1,RE24,0.5919980671521771,GO,0.42471437910642673,
